Number,Region,Volcano Name,Latitude (volcano!db),Longitude (volcano!db)
1900-081,Antarctica,Montagu Island,-58.417,-26.333
1900-041,Antarctica,Paulet,-63.58,-55.77
1900-031,Antarctica,Penguin Island,-62.1,-57.93
1900-029,Antarctica,Peter I Island,-68.85,-90.58
1900-028,Antarctica,Hudson Mountains,-74.33,-99.42
1900-027,Antarctica,Takahe,-76.28,-112.08
1900-026,Antarctica,Toney Mountain,-75.8,-115.83
1900-025,Antarctica,Siple,-73.43,-126.67
1900-024,Antarctica,Waesche,-77.17,-126.88
1900-023,Antarctica,Andrus,-75.8,-132.33
1900-022,Antarctica,Berlin,-76.05,-136
1900-021,Antarctica,Royal Society Range,-78.25,163.6
1900-020,Antarctica,"Morning, Mt.",-78.5,163.533
1900-016,Antarctica,Unnamed,-76.83,163
1900-015,Antarctica,Melbourne,-74.35,164.7
1900-014,Antarctica,Unnamed,-73.45,164.58
1900-013,Antarctica,"Pleiades, The",-72.67,165.5
1900-012,Antarctica,Sturge Island,-67.4,164.83
1900-011,Antarctica,Young Island,-66.42,162.45
1900-14-,Antarctica,Protector Shoal,-55.92,-28.08
1900-13=,Antarctica,Zavodovski,-56.3,-27.57
1900-12=,Antarctica,Leskov Island,-56.67,-28.13
1900-11=,Antarctica,Hodson,-56.7,-27.15
1900-10=,Antarctica,Candlemas Island,-57.08,-26.67
1900-09=,Antarctica,Michael,-57.78,-26.45
1900-08=,Antarctica,Bristol Island,-59.03,-26.58
1900-07=,Antarctica,Thule Islands,-59.45,-27.37
1900-06=,Antarctica,Lindenberg Island,-65.03,-60.05
1900-05=,Antarctica,Seal Nunataks Group,-65.03,-60.05
1900-04=,Antarctica,Bridgeman Island,-62.05,-56.75
1900-03=,Antarctica,Deception Island,-62.97,-60.65
1900-02=,Antarctica,Erebus,-77.53,167.17
1900-01=,Antarctica,Buckle Island,-66.8,163.25
1806-011,Atlantic-S,Nightingale Island,-37.417,-12.483
1806-03-,Atlantic-S,Thompson Island,-53.93,5.5
1806-02-,Atlantic-S,Bouvet,-54.42,3.35
1806-01=,Atlantic-S,Tristan da Cunha,-37.092,-12.28
1805-051,Atlantic-S,Trindade,-20.514,-29.331
1805-05-,Atlantic-S,Ascension,-7.95,-14.37
1805-04=,Atlantic-C,Unnamed,-3.5,-24.5
1805-03=,Atlantic-C,Unnamed,-0.58,-15.83
1805-02=,Atlantic-C,Unnamed,4.2,-21.45
1805-01=,Atlantic-C,Unnamed,7,-21.83
1804-03-,Cape Verde Is,Santo Antao,17.07,-25.17
1804-02-,Cape Verde Is,Brava,14.85,-24.72
1804-01=,Cape Verde Is,Fogo,14.95,-24.35
1803-06-,Canary Is,Lanzarote,29.03,-13.63
1803-05-,Canary Is,Fuerteventura,28.358,-14.02
1803-04-,Canary Is,Gran Canaria,28,-15.58
1803-03-,Canary Is,Tenerife,28.271,-16.641
1803-02-,Canary Is,Hierro,27.73,-18.03
1803-01-,Canary Is,La Palma,28.58,-17.83
1802-081,Azores,Unnamed,37.78,-25.67
1802-002,Azores,Corvo,39.67,-31.07
1802-001,Azores,Flores,39.4,-31.17
1802-12-,Azores,Madeira,32.733,-16.967
1802-11=,Azores,Monaco Bank,37.6,-25.88
1802-10=,Azores,Furnas,37.77,-25.32
1802-09=,Azores,Agua de Pau,37.77,-25.47
1802-08=,Azores,Sete Cidades,37.87,-25.78
1802-07=,Azores,Don Joao de Castro Bank,38.23,-26.63
1802-05=,Azores,Terceira,38.73,-27.32
1802-04=,Azores,Graciosa,39.02,-27.97
1802-03=,Azores,San Jorge,38.65,-28.08
1802-02=,Azores,Pico,38.47,-28.4
1802-01=,Azores,Fayal,38.6,-28.73
1801-04=,Atlantic-N,Unnamed,38.75,-38.08
1801-03=,Atlantic-N,Unnamed,39.95,-25.83
1801-02=,Atlantic-N,Unnamed,49,-34.5
1801-01=,Atlantic-N,Unnamed,66,-27.75
1707-02-,Arctic Ocean,Unnamed,85.583,85
1707-01-,Arctic Ocean,Unnamed,88.27,-65.6
1706-01=,Atlantic-N-Jan Mayen,Jan Mayen,71.08,-8.17
1705-01=,Iceland-N of,Kolbeinsey Ridge,66.67,-18.5
1704-02=,Iceland-SE,Esjufjoll,64.27,-16.65
1704-01=,Iceland-SE,Oraefajokull,64,-16.65
1703-15-,Iceland-N,Manareyjar,66.3,-17.1
1703-10=,Iceland-N of,Tjornes Fracture Zone,66.3,-17.1
1703-09=,Iceland,Theistareykjarbunga,65.88,-16.83
1703-08=,Iceland-NE,Krafla,65.73,-16.78
1703-07=,Iceland-NE,Fremrinamur,65.43,-16.65
1703-06=,Iceland-NE,Askja,65.03,-16.75
1703-05=,Iceland-NE,Kverkfjoll,64.65,-16.72
1703-04=,Iceland-NE,Tungnafellsjokull,64.73,-17.92
1703-03=,Iceland-NE,Bardarbunga,64.63,-17.53
1703-01=,Iceland-NE,Grimsvotn,64.42,-17.33
1702-19-,Iceland-S,Thordarhyrna,62.27,-17.6
1702-18-,Iceland-NE,Trollagigar,64.43,-18.13
1702-15-,Iceland-NE,Lakagigar,64.42,17.33
1702-10-,Iceland-S,Lambafit,64.08,-19.4
1702-09-,Iceland-S,Krakagiger,63.98,-19.7
1702-08-,Iceland-S,Mundafell,63.98,-19.7
1702-07=,Iceland-S,Hekla,63.98,-19.7
1702-05=,Iceland-S,Torfajokull,63.92,-19.17
1702-04=,Iceland-S,Tindfjallajokull,63.78,-19.57
1702-03=,Iceland-S,Katla,63.63,-19.05
1702-02=,Iceland-S,Eyjafjallajokull,63.63,-19.62
1702-01=,Iceland-S,Vestmannaeyjar,63.43,-20.28
1701-051,Iceland-S,Hromundartindur,64.073,-21.202
1701-17-,Iceland-SW,Kristnitokugigar,63.98,-21.42
1701-09=,Iceland-SW,Hofsjokull,64.78,-18.92
1701-08=,Iceland-SW,Langjokull,64.75,-19.98
1701-07=,Iceland-SW,Prestahnukur,64.6,-20.58
1701-06=,Iceland-SW,Grimsnes,64.03,-20.87
1701-05=,Iceland-SW,Hengill,64.18,-21.33
1701-04=,Iceland-SW,Brennisteinsfjoll,63.92,-21.83
1701-03=,Iceland-SW,Krisuvik,63.93,-22.1
1701-02=,Iceland-SW,Reykjanes,63.88,-22.5
1701-01=,Iceland-SW,Reykjaneshryggur,63.67,-23.33
1700-03=,Iceland-W,Ljosufjoll,64.87,-22.23
1700-02=,Iceland-W,Lysuholl,64.87,-23.25
1700-01=,Iceland-W,Snaefellsjokull,64.8,-23.78
1600-101,W Indies,"Watt, Morne",15.307,-61.305
1600-21-,Trinidad,Piparo,10,-61
1600-17=,W Indies,St. Catherine,12.15,-61.67
1600-16=,W Indies,Kick-'em-Jenny,12.3,-61.63
1600-15=,W Indies,Soufriere St. Vincent,13.33,-61.18
1600-14=,W Indies,Qualibou,13.83,-61.05
1600-12=,W Indies,Pelee,14.82,-61.17
1600-11=,W Indies,"Patates, Morne",15.22,-61.37
1600-10=,W Indies,Micotrin,15.33,-61.33
1600-09=,W Indies,"Diablotins, Morne",15.5,-61.42
1600-08=,W Indies,"Diable, Morne Au",15.62,-61.45
1600-07=,W Indies,Unnamed,16.13,-61.28
1600-06=,W Indies,Soufriere Guadeloupe,16.05,-61.67
1600-05=,W Indies,Soufriere Hills,16.72,-62.18
1600-04=,W Indies,Nevis Peak,17.15,-62.58
1600-03=,W Indies,Liamuiga,17.37,-62.8
1600-02=,W Indies,"Quill, The",17.48,-62.95
1600-01=,W Indies,Saba,17.63,-63.23
1508-063,Chile-S,Reclus,-50.98,-73.7
1508-062,Chile-S,Aguilera,-50.17,-73.83
1508-061,Argentina,"Viedma, Volcan",-49.358,-73.28
1508-059,Chile-S,Arenales,-47.2,-73.483
1508-058,Chile-S,Río Murta,-46.167,-72.667
1508-057,Chile-S,"Hudson, Cerro",-45.9,-72.97
1508-056,Chile-S,Maca,-45.1,-73.2
1508-055,Chile-S,Mentolat,-44.67,-73.08
1508-054,Chile-S,Puyuhuapi,-44.3,-72.53
1508-053,Chile-S,Melimoyu,-44.08,-72.88
1508-052,Chile-S,Palena Volc Group,-43.68,-72.5
1508-051,Chile-S,"Yanteles, Cerro",-43.42,-72.83
1508-050,Chile-S,Yanteles,-43.5,-72.8
1508-041,Chile-S,Chaiten,-42.833,-72.646
1508-025,Chile-S/Argentina,Crater Basalt Volc Field,-42.017,-70.183
1508-024,Argentina,"Volcanico, Cerro",-42.07,-71.65
1508-023,Chile-S,Hornopiren,-41.874,-72.431
1508-022,Chile-S,Yate,-41.755,-72.396
1508-021,Chile-S,Cayute-La Vigueria,-41.25,-72.27
1508-012,Chile-S,Cayutué-La Viguería,-41.25,-72.267
1508-011,Chile-S,Tronador,-41.157,-71.885
1508-09-,Chile-S,"Cook, Isla",-54.95,-70.27
1508-08-,Chile-S,Palei-Aike Volc Field,-52,-70
1508-07=,Chile-S,"Burney, Monte",-52.33,-73.4
1508-06=,Chile-S,Lautaro,-49.02,-73.55
1508-05=,Chile-S,Corcovado,-43.18,-72.8
1508-04=,Chile-S,Minchinmavida,-42.78,-72.43
1508-03=,Chile-S,Huequi,-42.377,-72.578
1508-02=,Chile-S,Calbuco,-41.326,-72.614
1508-01=,Chile-S,Osorno,-41.1,-72.493
1507-153,Chile-C,Antillanca Group,-40.771,-72.153
1507-152,Chile-C,"Pantoja, Cerro",-40.77,-71.95
1507-123,Argentina,Huanquihue Group,-39.87,-71.55
1507-122,Chile-C,Lanin,-39.633,-71.5
1507-121,Chile-C,Quetrupillan,-39.5,-71.7
1507-112,Chile-C,Caburga,-39.2,-71.83
1507-111,Chile-C,Sollipulli,-38.97,-71.52
1507-101,Chile-C,"Chapulul, Cerro",-38.37,-71.08
1507-093,Chile-C,Tolguaca,-38.31,-71.645
1507-092,Chile-C,Tolguaca,-38.31,-71.645
1507-091,Chile-C,Callaqui,-37.92,-71.45
1507-081,Argentina,Trocon,-37.733,-70.9
1507-073,Argentina,Puesto Cortaderas,-37.567,-69.617
1507-072,Argentina,Puesto Cortaderas,-37.55,-69.62
1507-071,Argentina,Tromen,-37.142,-70.03
1507-067,Argentina,Domuyo,-36.63,-70.42
1507-066,Argentina,"Payun Matru, Cerro",-36.42,-69.2
1507-065,Chile-C,"Resago, Volcan",-36.45,-70.92
1507-064,Chile-C,"Blanca, Loma",-36.286,-71.009
1507-063,Chile-C,"Longavi, Nevado de",-36.193,-71.161
1507-062,Chile-C,San Pedro-Pellado,-35.989,-70.849
1507-061,Chile-C,"Maule, Laguna del",-36.02,-70.58
1507-042,Chile-C,Calabozos,-35.558,-70.496
1507-041,Chile-C,Mondaca,-35.464,-70.8
1507-024,Argentina,Risco Plateado,-34.933,-70
1507-023,Argentina,"Atuel, Caldera del",-34.65,-70.05
1507-022,Chile-C,Palomo,-34.608,-70.295
1507-021,Chile-C,Maipo,-34.161,-69.833
1507-16-,Chile-C,Puntiagudo-Cordon Cenizo,-40.969,-72.264
1507-15=,Chile-C,Puyehue,-40.59,-72.117
1507-14=,Chile-C,Carran-Los Venados,-40.35,-72.07
1507-13=,Chile-C,Mocho-Choshuenco,-39.927,-72.027
1507-12=,Chile-C,Villarrica,-39.42,-71.93
1507-11=,Chile-C,Llaima,-38.692,-71.729
1507-10=,Chile-C,Lonquimay,-38.377,-71.58
1507-09=,Chile-C,Copahue,-37.85,-71.17
1507-08=,Chile-C,Antuco,-37.406,-71.349
1507-07=,Chile-C,"Chillan, Nevados de",-36.863,-71.377
1507-06=,Chile-C,"Azul, Cerro [Quizapu]",-35.653,-70.761
1507-05=,Chile-C,Descabezado Grande,-35.58,-70.75
1507-04=,Chile-C,Planchon-Peteroa,-35.24,-70.57
1507-03=,Chile-C,Tinguiririca,-34.814,-70.352
1507-02=,Chile-C,San Jose,-33.782,-69.897
1507-01=,Chile-C,Tupungatito,-33.4,-69.8
1506-011,Chile-Is,Easter Island,-27.15,-109.383
1506-04=,Chile-Is,Unnamed,-33.62,-76.83
1506-03=,Chile-Is,Unnamed,-33.622,-78.78
1506-02=,Chile-Is,Robinson Crusoe,-33.658,-78.85
1506-01=,Chile-Is,San Felix,-26.27,-80.12
1505-161,Argentina,Unnamed,-25.1,-68.267
1505-131,Argentina,Tipas,-27.2,-68.55
1505-125,Chile,"Nevada, Sierra",-26.48,-68.58
1505-124,Argentina,Antofagasta de la Sierra,-26.08,-67.5
1505-123,Argentina,Antofalla,-25.53,-68
1505-122,Chile-N,"Bayo, Cerro",-25.42,-68.58
1505-121,Chile-N,Cordon del Azufre,-25.33,-68.52
1505-112,Chile-N,"Escorial, Cerro",-25.08,-68.37
1505-109,Chile-N,"Negrillar, La",-24.28,-68.6
1505-108,Chile-N,Socompa,-24.4,-68.25
1505-107,Argentina,Aracar,-24.27,-67.77
1505-106,Chile-N,"Negrillar, El",-24.18,-68.25
1505-105,Chile-N,Pular,-24.18,-68.05
1505-104,Chile-N,"Tujle, Cerro",-23.83,-67.95
1505-103,Chile-N,Cordon Chalviri,-23.85,-67.62
1505-102,Chile-N,Cordon de Puntas Negras,-23.75,-67.53
1505-101,Chile-N,Chiliques,-23.58,-67.7
1505-098,Chile-N,Chiliques,-23.583,-67.7
1505-097,Chile-N,"Overo, Cerro",-23.35,-67.67
1505-096,Chile-N,Acamarachi,-23.3,-67.62
1505-095,Chile-N,Colachi,-23.23,-67.65
1505-094,Chile-N,Purico Complex,-23,-67.75
1505-093,Chile-N,Guayaques,-22.88,-67.58
1505-092,Chile-N,Licancabur,-22.83,-67.88
1505-091,Chile-N,Sairecabur,-22.73,-67.88
1505-061,Bolivia,"Yumia, Cerro",-21.5,-67.5
1505-042,Bolivia,Pampa Luxsar,-20.85,-68.2
1505-036,Bolivia,Nuevo Mundo,-19.783,-66.483
1505-035,Bolivia,"Jayu Khota, Laguna",-19.45,-67.417
1505-032,Chile-N,"Pina, Cerro",-19.492,-68.65
1505-021,Bolivia,"Colluma, Cerro",-18.5,-68.07
1505-012,Bolivia,Patilla Pata,-18.05,-69.03
1505-011,Chile-N,Lexone,-17.87,-69.48
1505-22-,Argentina,Tipas,-27.2,-68.55
1505-21-,Argentina,Robledo,-26.767,-67.717
1505-20-,Argentina,Peinado,-26.617,-68.15
1505-19-,Argentina,"Cóndor, Cerro el",-26.617,-68.35
1505-18-,Argentina,Antofagasta de la Sierra,-26.083,-67.5
1505-16-,Argentina,Aracar,-24.25,-67.767
1505-15-,Argentina,"Tuzgle, Cerro",-24.05,-66.483
1505-14-,Chile-N,Copiapo,-27.3,-69.13
1505-13=,Chile-N,"Ojos del Salado, Nevados",-27.12,-68.53
1505-12=,Chile-N,Lastarria,-25.17,-68.5
1505-11=,Chile-N,Llullaillaco,-24.72,-68.53
1505-10=,Chile-N,Lascar,-23.37,-67.73
1505-09=,Chile-N,Putana,-22.57,-67.87
1505-07=,Chile-N,San Pedro,-21.88,-68.4
1505-06=,Chile-N,Ollague,-21.3,-68.18
1505-05=,Chile-N,Olca-Paruma,-20.93,-68.48
1505-04=,Chile-N,Irruputuncu,-20.73,-68.55
1505-03=,Chile-N,Isluga,-19.15,-68.83
1505-02=,Chile-N,Guallatiri,-18.42,-69.17
1505-01=,Chile-N,Tacora,-17.72,-69.77
1504-031,Peru,Ticsani,-16.755,-70.595
1504-008,Peru,"Nicholson, Cerro",-16.258,-71.753
1504-007,Peru,"Chachani, Nevado",-16.191,-71.53
1504-006,Peru,Sabancaya,-15.783,-71.85
1504-005,Peru,"Chachani, Nevado",-16.191,-71.53
1504-004,Peru,Quimsachata,-14.37,-71.17
1504-003,Peru,Sabancaya,-15.78,-71.85
1504-002,Peru,Andahua Valley,-15.42,-72.33
1504-001,Peru,Coropuna,-15.52,-72.65
1504-06-,Peru,"Casiri, Nevados",-17.47,-69.82
1504-05-,Peru,Yucamane,-17.18,-70.2
1504-04=,Peru,Tutupaca,-17.025,-70.358
1504-03=,Peru,Huaynaputina,-16.608,-70.85
1504-02=,Peru,Ubinas,-16.355,-70.903
1504-01=,Peru,"Misti, El",-16.294,-71.409
1504-00-,Peru,"Firura, Nevados",-15.23,-72.63
1503-091,Galapagos,Santa Cruz,-0.62,-90.33
1503-081,Galapagos,Genovesa,0.32,-89.958
1503-011,Galapagos,"Ecuador, Volcan",-0.02,-91.546
1503-12-,Galapagos,San Cristobal,-0.88,-89.5
1503-09=,Galapagos,Santiago,-0.22,-90.77
1503-08=,Galapagos,Marchena,0.33,-90.47
1503-07=,Galapagos,Pinta,0.58,-90.75
1503-06=,Galapagos,"Azul, Cerro",-0.9,-91.42
1503-05=,Galapagos,"Negra, Sierra",-0.83,-91.17
1503-04=,Galapagos,"Alcedo, Volcan",-0.43,-91.12
1503-03=,Galapagos,"Darwin, Volcan",-0.18,-91.28
1503-02=,Galapagos,"Wolf, Volcan",0.02,-91.35
1503-01=,Galapagos,Fernandina,-0.37,-91.55
1502-081,Ecuador,Tulabug,-1.78,-78.613
1502-071,Ecuador,Chimborazo,-1.464,-78.815
1502-041,Ecuador,Illiniza,-0.659,-78.714
1502-022,Ecuador,Chacana,-0.375,-78.25
1502-021,Ecuador,Atacazo,-0.353,-78.617
1502-011,Ecuador,Pululagua,0.038,-78.463
1502-006,Ecuador,Cayambe,0.029,-77.986
1502-005,Ecuador,Mojanda,0.133,-78.267
1502-004,Ecuador,Cayambe,0.029,-77.986
1502-003,Ecuador,Mojanda,0.13,-78.27
1502-002,Ecuador,Cuicocha,0.308,-78.364
1502-001,Ecuador,Soche,0.552,-77.58
1502-09=,Ecuador,Sangay,-2.03,-78.33
1502-08=,Ecuador,Tungurahua,-1.467,-78.442
1502-06=,Ecuador,Quilotoa,-0.85,-78.9
1502-05=,Ecuador,Cotopaxi,-0.677,-78.436
1502-04=,Ecuador,Sumaco,-0.538,-77.626
1502-03=,Ecuador,Antisana,-0.481,-78.141
1502-02=,Ecuador,Guagua Pichincha,-0.171,-78.598
1502-01=,Ecuador,Reventador,-0.078,-77.656
1501-062,Colombia,Petacas,1.57,-76.78
1501-061,Colombia,Sotara,2.12,-76.58
1501-021,Colombia,Santa Isabel,4.82,-75.37
1501-012,Colombia,"Bravo, Cerro",5.092,-75.3
1501-011,Colombia,"Bravo, Cerro",5.092,-75.3
1501-11=,Colombia,"Negro de Mayasquer, Cerro",0.828,-77.964
1501-10=,Colombia,Cumbal,0.98,-77.88
1501-09=,Colombia,"Azufral, Volcan",1.08,-77.68
1501-08=,Colombia,Galeras,1.22,-77.37
1501-07=,Colombia,Dona Juana,1.47,-76.92
1501-06=,Colombia,Purace,2.32,-76.4
1501-05=,Colombia,Huila,2.92,-76.05
1501-04=,Colombia,"Machin, Cerro",4.48,-75.4
1501-03=,Colombia,Tolima,4.67,-75.33
1501-02=,Colombia,Ruiz,4.895,-75.322
1406-03-,Panama,"Valle, El",8.583,-80.167
1406-01-,Panama,Baru,8.8,-82.558
1405-034,Costa Rica,Platanar,10.3,-84.366
1405-033,Costa Rica,Arenal,10.463,-84.703
1405-031,Costa Rica,Tenorio,10.673,-85.015
1405-07=,Costa Rica,Turrialba,10.03,-83.77
1405-06=,Costa Rica,Irazu,9.979,-83.852
1405-05=,Costa Rica,Barva,10.135,-84.1
1405-04=,Costa Rica,Poas,10.2,-84.233
1405-03=,Costa Rica,Miravalles,10.748,-85.153
1405-02=,Costa Rica,Rincon de la Vieja,10.83,-85.324
1405-01=,Costa Rica,Orosi,10.98,-85.473
1404-133,Nicaragua,"Lajas, Las",12.3,-85.73
1404-132,Nicaragua,"Ciguatepe, Cerro El",12.53,-86.142
1404-131,Nicaragua,Esteli,13.17,-86.4
1404-111,Nicaragua,Zapatera,11.73,-85.82
1404-101,Nicaragua,"Joya, La",11.92,-85.98
1404-092,Nicaragua,Nejapa-Miraflores,12.12,-86.32
1404-091,Nicaragua,Apoyeque,12.242,-86.342
1404-14-,Nicaragua,"Azul, Volcan",12.53,-83.87
1404-13-,Nicaragua,Maderas,11.446,-85.515
1404-12=,Nicaragua,Concepcion,11.538,-85.622
1404-11=,Nicaragua,Mombacho,11.826,-85.968
1404-10=,Nicaragua,Masaya,11.984,-86.161
1404-09=,Nicaragua,Momotombo,12.422,-86.54
1404-08=,Nicaragua,"Pilas, Las",12.495,-86.688
1404-07=,Nicaragua,"Negro, Cerro",12.506,-86.702
1404-06-,Nicaragua,Rota,12.55,-86.75
1404-04=,Nicaragua,Telica,12.602,-86.845
1404-02=,Nicaragua,San Cristobal,12.702,-87.004
1404-01=,Nicaragua,Cosiguina,12.98,-87.57
1403-101,El Salvador,"Aramuaca, Laguna",13.428,-88.105
1403-082,El Salvador,"Tigre, El",13.467,-88.433
1403-081,El Salvador,Usulutan,13.419,-88.471
1403-072,El Salvador,Taburete,13.435,-88.532
1403-071,El Salvador,Apastepeque Field,13.72,-88.77
1403-052,El Salvador,Guazapa,13.9,-89.12
1403-051,El Salvador,"Cinotepec, Cerro",14.02,-89.25
1403-041,El Salvador,Coatepeque Caldera,13.87,-89.55
1403-002,El Salvador,"Singuil, Cerro",14.03,-89.7
1403-001,El Salvador,San Diego,14.27,-89.48
1403-16-,Honduras,Utila Island,16.1,-86.9
1403-15-,Honduras,"Yojoa, Lake",14.98,-87.98
1403-14-,Honduras,"Zacate Grande, Isla",13.33,-87.63
1403-13-,Honduras,"Tigre, Isla El",13.27,-87.63
1403-12=,El Salvador,Conchaguita,13.22,-87.765
1403-11=,El Salvador,Conchagua,13.277,-87.853
1403-10=,El Salvador,San Miguel,13.431,-88.272
1403-09=,El Salvador,Chinameca,13.475,-88.32
1403-08=,El Salvador,Tecapa,13.494,-88.502
1403-07=,El Salvador,San Vicente,13.623,-88.852
1403-06=,El Salvador,Ilopango,13.672,-89.053
1403-05=,El Salvador,San Salvador,13.736,-89.286
1403-04=,El Salvador,San Marcelino,13.853,-89.63
1403-03=,El Salvador,Izalco,13.813,-89.633
1403-02=,El Salvador,Santa Ana,13.853,-89.63
1403-01=,El Salvador,Apaneca Range,13.891,-89.786
1402-141,Guatemala,Tahual,14.433,-89.9
1402-121,Guatemala,Cuilapa-Barbarena,14.33,-90.4
1402-111,Guatemala,Cuilapa-Barbarena,14.333,-90.4
1402-21-,Guatemala,Quezaltepeque,14.65,-89.35
1402-20-,Guatemala,Chiquimula Volc Field,14.83,-89.55
1402-19-,Guatemala,Ipala Volc Field,14.55,-89.63
1402-18-,Guatemala,Ixtepeque,14.42,-89.68
1402-17-,Guatemala,Suchitan Volc Field,14.4,-89.78
1402-16-,Guatemala,"Santiago, Cerro",14.33,-89.87
1402-15-,Guatemala,Chingo Volc Field,14.12,-89.73
1402-14-,Guatemala,Flores,14.3,-90
1402-13-,Guatemala,Moyuta,14.03,-90.1
1402-12=,Guatemala,Tecuamburro,14.156,-90.407
1402-11=,Guatemala,Pacaya,14.381,-90.601
1402-10=,Guatemala,Agua,14.465,-90.743
1402-09=,Guatemala,Fuego,14.473,-90.88
1402-08=,Guatemala,Acatenango,14.501,-90.876
1402-07=,Guatemala,Toliman,14.612,-91.189
1402-06=,Guatemala,Atitlan,14.583,-91.186
1402-04=,Guatemala,Almolonga,14.82,-91.48
1402-03=,Guatemala,Santa Maria,14.756,-91.552
1402-02=,Guatemala,Tajumulco,15.034,-91.903
1401-098,Mexico,"Cumbres, Las",19.15,-97.27
1401-097,Mexico,"Gloria, La",19.33,-97.25
1401-096,Mexico,Cofre de Perote,19.492,-97.15
1401-095,Mexico,Naolinco Volc Field,19.67,-96.75
1401-094,Mexico,"Atlixcos, Cerro Los",19.809,-96.526
1401-093,Mexico,"Humeros, Los",19.68,-97.45
1401-092,Mexico,Serdan-Oriental,19.27,-97.47
1401-091,Mexico,"Malinche, La",19.23,-98.03
1401-082,Mexico,Iztaccihuatl,19.179,-98.642
1401-081,Mexico,Papayo,19.308,-98.7
1401-062,Mexico,Jocotitlan,19.733,-99.758
1401-061,Mexico,Jocotitlan,19.724,-99.757
1401-031,Mexico,Mascota Volc Field,20.62,-104.83
1401-024,Mexico,Sangangüey,21.45,-104.733
1401-023,Mexico,Sanganguey,21.45,-104.73
1401-022,Mexico,Durango Volc Field,24.15,-104.45
1401-021,Mexico-Is,Socorro,18.78,-110.95
1401-012,Mexico,Comondu-La Purisima,26,-111.92
1401-011,Mexico,"Tortuga, Isla",27.392,-111.858
1401-008,Mexico,Unnamed,28,-115
1401-007,Mexico,San Borja Volc Field,28.5,-113.75
1401-006,Mexico,Guadalupe,29.07,-118.28
1401-005,Mexico,Coronado,29.08,-113.513
1401-004,Mexico,Jaraguay Volc Field,29.33,-114.5
1401-003,Mexico,"San Luis, Isla",29.814,-114.384
1401-002,Mexico,San Quintin Volc Field,30.468,-115.996
1401-001,Mexico,Pinacate,31.772,-113.498
1401-13=,Mexico,Tacana,15.13,-92.112
1401-12=,Mexico,"Chichon, El",17.36,-93.228
1401-11=,Mexico,San Martin,18.572,-95.169
1401-10=,Mexico,"Orizaba, Pico de",19.03,-97.268
1401-09=,Mexico,Popocatepetl,19.023,-98.622
1401-08=,Mexico,Chichinautzin,19.08,-99.13
1401-07-,Mexico,"Toluca, Nevado de",19.108,-99.758
1401-06=,Mexico,Michoacan-Guanajuato,19.48,-102.25
1401-05=,Mexico,Paricutin Volcanic Field,19.48,-102.25
1401-04=,Mexico,Colima,19.514,-103.62
1401-03=,Mexico,Ceboruco,21.125,-104.508
1401-02=,Mexico-Is,Barcena,19.3,-110.82
1401-01=,Mexico,Tres Virgenes,27.47,-112.591
1401-00-,Mexico,"Prieto, Cerro",32.418,-115.305
1305-03-,Pacific-S,Unnamed,-55.967,-143.167
1305-02-,Pacific-S,Unnamed,-53.9,-140.3
1305-01-,Pacific-S,Antipodes Island,-49.683,178.767
1304-021,Pacific-E,Northern EPR-Segment RO3,15.833,-105.433
1304-14-,Pacific-E,Southern EPR-Segment I,-18.533,-113.417
1304-13-,Pacific-E,Southern EPR-Segment J,-18.175,-113.35
1304-12-,Pacific-E,Southern EPR-Segment K,-17.436,-113.206
1304-10-,Pacific-E,Unnamed,-8.267,-107.95
1304-07-,Pacific-E,Galapagos Rift,0.792,-86.15
1304-05-,Pacific-E,Unnamed,9.833,-104.3
1304-04-,Pacific-E,Unnamed,10.733,-103.583
1304-02-,Pacific-S,Unnamed,-53.9,-140.3
1303-08-,Austral Is-C Pacific,Macdonald,-28.98,-140.25
1303-06-,Society Is-C Pacific,Mehetia,-17.87,-148.07
1303-05-,Society Is-C Pacific,Moua Pihaa,-18.32,-148.67
1303-04-,Society Is-C Pacific,Rocard,-17.642,-148.6
1303-03-,Society Is-C Pacific,Teahitia,-17.57,-148.85
1303-02-,Pacific-E,Galapagos Rift,0.792,-86.15
1303-01-,Pacific-E,Unnamed,9.82,-104.3
1302-09-,Hawaiian Is,Unnamed,23.58,-163.83
1302-08-,Hawaiian Is,Unnamed,21.75,-158.75
1302-06-,Hawaiian Is,Haleakala,20.708,-156.25
1302-04-,Hawaiian Is,Hualalai,19.692,-155.87
1302-03-,Hawaiian Is,Mauna Kea,19.82,-155.47
1302-02=,Hawaiian Is,Mauna Loa,19.475,-155.608
1302-01-,Hawaiian Is,Kilauea,19.425,-155.292
1302-00-,Hawaiian Is,Loihi,18.92,-155.27
1301-031,Pacific-NE,North Gorda Ridge,42.667,-126.783
1301-021,Pacific-NE,North Gorda Ridge,42.67,-126.78
1301-011,Pacific-NE,Axial Seamount,45.95,-130
1301-05-,Pacific-NE,Unnamed,31.75,-124.25
1301-04-,Pacific-NE,Escanaba Segment,40.983,-127.5
1301-03-,Pacific-NE,Unnamed,31.75,-124.25
1301-02-,Pacific-NE,Cleft Segment,44.83,-130.3
1301-01-,Pacific-NE,Endeavour Ridge,47.95,-129.1
1210-02-,US-New Mexico,Zuni-Bandera,34.8,-108
1210-01-,US-New Mexico,Carrizozo,33.78,-105.93
1209-02-,US-Arizona,Sunset Crater,35.37,-111.5
