Event ID,Source,Year of Date Time,Latitude,Longitude,Max. Magnitude
2012060720,NEI,1899,-25.9755,-71.4915,6.1
2012060520,NEI,1899,34.943,141.132,6.1
2012060420,NEI,1899,5.4065,-82.596,6.3
2012060220,NEI,1899,-22.059,-63.555,6
2012052820,NEI,1899,-28.043,-63.094,6.8
2012052620,NEI,1899,26.91,140.055,6
2012052420,NEI,1899,72.96,5.683,6.2
2012052320,NEI,1899,-4.5425,140.799,6
2012052020,ROM,1899,44.89,11.23,6.1
2012052020,NEI,1899,39.646,143.164,6.3
2012051820,NEI,1899,-44.806,-80.159,6.3
2012051420,NEI,1899,-17.678,-69.591,6.2
2012050120,NEI,1899,14.376,-92.897,6
2012042820,NEI,1899,-18.685,-174.705,6.7
2012042320,NEI,1899,-28.556,-177.412,6
2012042120,NEI,1899,-1.626,134.2365,6.7
2012041720,NEI,1899,-32.367666667,19.713333333,6.8
2012041520,NEI,1899,2.581,90.269,6.2
2012041420,NEI,1899,-38.3255,51.7165,6.3
2012041220,NEI,1899,28.7665,-113.0655,7
2012041121,NEI,1899,30.9065,-115.1635,6.7
2012041120,NEI,1899,1.461,92.420333333,8.6
2012040620,NEI,1899,-4.551,153.457,6.1
2012040220,NEI,1899,16.395,-98.316,6
2012032720,NEI,1899,39.859,142.017,6.1
2012032620,NEI,1899,10.071,-104.16,6
2012032520,GUC,1899,-35.2,-72.217,7.1
2012032120,NEI,1899,-6.242,145.955,6.6
2012032020,NEI,1899,6.3405,21.0175,7.4
2012031420,NEI,1899,27.94,145.3605,7
2012030920,NEI,1899,-19.125,169.613,6.7
2012030520,NEI,1899,-28.246,-63.294,6.1
2012030320,NEI,1899,-22.141,170.34,6.6
2012022620,NEI,1899,13.6065,-40.6235,6.7
2012021420,NEI,1899,-10.39,161.102,6.4
2012021020,NEI,1899,-17.968,-178.549,6
2012020620,NEI,1899,9.942,123.1505,6.7
2012020520,NEI,1899,-18.421,168.0715,6.1
2012020320,NEI,1899,-17.378,167.277,6.1
2012020220,NEI,1899,-17.827,167.133,7.1
2012013020,NEI,1899,-14.168,-75.635,6.4
2012012420,NEI,1899,-24.977,178.52,6.4
2012012320,NEI,1899,-36.409,-73.03,6.2
2012012220,NEI,1899,-56.759,-25.147,6
2012012120,NEI,1899,14.873,-93.005,6.3
2012011520,NEI,1899,-60.915,-56.039,6.6
2012011020,NEI,1899,2.433,93.21,7.2
2012010920,NEI,1899,-10.617,165.16,6.4
2012010120,NEI,1899,31.456,138.072,6.8
2011122720,NEI,1899,51.842,95.911,6.6
2011122620,NEI,1899,-16.198,-173.862,6
2011121520,NEI,1899,-32.718,-179.099,6
2011121420,NEI,1899,-7.561,146.804,7.1
2011121320,NEI,1899,0.041,123.03,6
2011121120,UNM,1899,17.844,-99.963,6.5
2011121120,NEI,1899,-56.009,-28.184,6.2
2011120720,NEI,1899,-27.899,-70.918,6.1
2011113020,NEI,1899,15.455,118.999,6
2011112920,NEI,1899,-1.602,-15.45,6
2011112820,NEI,1899,-5.48,153.733,6.2
2011112420,NEI,1899,41.898,142.639,6.2
2011112320,NEI,1899,37.365,141.368,6.1
2011112220,NEI,1899,-15.364,-65.09,6.6
2011111720,NEI,1899,-1.702,-81.546,6
2011111420,NEI,1899,-0.949,126.91,6.3
2011111120,NEI,1899,-55.981,-124.439,6.1
2011110820,NEI,1899,27.324,125.621,6.9
2011110720,NEI,1899,11.56,-85.861,6.1
2011110220,NEI,1899,-55.294,-128.843,6.2
2011110120,NEI,1899,19.831,-109.205,6.3
2011102820,NEI,1899,-14.438,-75.966,6.9
2011102720,NEI,1899,-17.941,-179.531,6
2011102320,NEI,1899,38.722,43.513,7.3
2011102320,ISK,1899,38.634,43.077,6
2011102120,NEI,1899,7.4495,-16.8795,7.4
2011101820,NEI,1899,-5.785,151.037,6.1
2011101420,NEI,1899,23.755,135.8015,6.5
2011101320,NEI,1899,-9.35,114.587,6.2
2011100720,NEI,1899,-32.514,-179.038,6.1
2011100620,NEI,1899,-24.178,-64.219,6.1
2011092220,NEI,1899,-15.437,-175.311,6.4
2011091820,NEI,1899,27.73,88.155,6.9
2011091620,NEI,1899,40.255,142.894,6.7
2011091520,NEI,1899,-6.907,-72.409666667,7.3
2011091420,NEI,1899,53.107,172.984,6
2011091220,NEI,1899,-3.626,144.178,6
2011090920,NEI,1899,49.535,-126.893,6.5
2011090520,NEI,1899,-6.165,-37.864,6.7
2011090320,NEI,1899,-38.561,71.4345,7
2011090220,NEI,1899,11.8865,-117.3685,6.8
2011090120,NEI,1899,-12.357,166.657,6.1
2011083020,NEI,1899,-6.362,126.752,6.9
2011082420,NEI,1899,-12.898,46.601,7
2011082220,NEI,1899,14.9005,122.871,6.1
2011082020,NEI,1899,-18.328,168.172333333,7.1
2011081920,NEI,1899,10.5745,-17.676,6.3
2011081720,NEI,1899,36.765,143.77,6.2
2011081620,NEI,1899,-2.331,128.002,6
2011081020,NEI,1899,-7.04,-12.618,6
2011080420,NEI,1899,48.833,154.769,6.1
2011073120,NEI,1899,-10.267,158.2035,6.6
2011073020,NEI,1899,36.943,140.959,6.5
2011072920,NEI,1899,-23.784,179.76,6.7
2011072720,NEI,1899,10.801,-43.393,6
2011072620,NEI,1899,25.101,-109.525,6
2011072520,NEI,1899,-3.182,150.611,6.4
2011072420,NEI,1899,37.727,141.394,6.3
2011072320,NEI,1899,38.898,141.815,6.4
2011072220,NEI,1899,-20.325,-178.595,6
2011072020,NEI,1899,-10.34,162.01,6
2011071920,NEI,1899,40.081,71.41,6.1
2011071620,NEI,1899,10.484,-116.561,6.2
2011071520,NEI,1899,-60.762,-23.523,6.2
2011071120,NEI,1899,-9.989,-27.202,6.4
2011071020,NEI,1899,38.034,143.264,7
2011070920,NEI,1899,-29.337,-177.051,6
2011070620,NEI,1899,-29.539,-176.34,7.6
2011062620,NEI,1899,-2.384,136.631,6.4
2011062420,NEI,1899,52.05,-171.836,7.3
2011062220,NEI,1899,39.955,142.205,6.7
2011062120,NEI,1899,-11.479,165.551,6
2011062020,NEI,1899,-21.701,-68.228,6.5
2011061620,NEI,1899,-5.928,151.04,6.3
2011061320,WEL,1899,-43.564,172.743,6
2011061320,NEI,1899,2.515,126.457,6.4
2011060520,NEI,1899,-55.843,146.62,6.4
2011060320,NEI,1899,37.285,143.907,6.2
2011060120,NEI,1899,-37.578,-73.691,6.3
2011051520,NEI,1899,-2.7675,64.3835,6.5
2011051420,NEI,1899,36.409,70.748,6
2011051320,UCR,1899,9.954,-84.313,6
2011051320,NEI,1899,37.396,141.341,6.1
2011051020,NEI,1899,-20.244,168.226,6.9
2011050920,NEI,1899,-56.65,147.411,6.1
2011050520,NEI,1899,38.17,144.032,6.1
2011043020,NEI,1899,6.851,-82.333,6.2
2011042420,NEI,1899,-4.586,122.771,6.1
2011042320,NEI,1899,14.361,152.035,6.8
2011042120,NEI,1899,35.579,140.305,6.2
2011041820,NEI,1899,-34.336,179.874,6.6
2011041320,NEI,1899,39.583,143.34,6.1
2011041220,NEI,1899,37.107,140.368,6
2011041121,NEI,1899,35.417,140.575,6.2
2011041120,NEI,1899,37.001,140.401,6.6
2011040920,NEI,1899,30.002,131.783,6
2011040720,UNM,1899,17.208,-94.338,6.7
2011040720,NEI,1899,38.276,141.588,7.1
2011040620,NEI,1899,1.615,97.097,6
2011040320,NEI,1899,-13.745,-35.446,6.8
2011040120,NEI,1899,39.323,141.95,6
2011040120,ATH,1899,35.662,26.56,6.1
2011033120,NEI,1899,11.1905,-17.848,6.4
2011032920,NEI,1899,37.401,142.29,6.1
2011032720,NEI,1899,38.415,142.011,6.2
2011032620,NEI,1899,-15.851,-179.406,6.1
2011032520,NEI,1899,38.772,141.88,6.2
2011032420,NEI,1899,20.687,99.822,6.8
2011032220,NEI,1899,38.139666667,143.078666667,6.5
2011032020,NEI,1899,18.999,121.244,6
2011031720,NEI,1899,11.4305,154.997,6.3
2011031521,NEI,1899,40.333,143.287,6.1
2011031520,NEI,1899,36.424,140.4095,6.1
2011031420,NEI,1899,37.785,142.456,6.1
2011031320,NEI,1899,35.723,141.637,6.2
2011031225,NEI,1899,38.047,141.72,6.1
2011031223,NEI,1899,37.249,141.159,6.2
2011031220,NEI,1899,37.594,142.648,6.5
2011031124,NEI,1899,38.961,140.734,6.3
2011031123,NEI,1899,36.1985,141.8345,6.3
2011031122,NEI,1899,39.241,142.463,6.6
2011031121,NEI,1899,38.598,142.301,6
2011031120,NEI,1899,37.47665625,142.6761875,9.1
2011031020,NEI,1899,-6.873,116.72,6.6
2011030920,NEI,1899,27.26525,144.46525,7.5
2011030720,NEI,1899,-10.349,160.766,6.4
2011030620,NEI,1899,-37.2215,-48.2125,6.5
2011030120,NEI,1899,-29.701,-111.981,6.1
2011022140,WEL,1899,-43.583,172.68,6.1
2011022140,NEI,1899,-26.142,178.394,6.6
2011022040,NEI,1899,55.918,162.117,6.1
2011021540,NEI,1899,-2.497,121.483,6.1
2011021440,NEI,1899,-35.38,-72.834,6.7
2011021340,NEI,1899,-36.649,-73.176,6
2011021240,NEI,1899,-28.953,-124.313,6.1
2011021140,NEI,1899,-36.809,-73.079,6.9
2011021040,NEI,1899,4.136,123.0065,6.6
2011020740,NEI,1899,-7.154,155.184,6.4
2011020440,NEI,1899,24.618,94.68,6.2
2011020340,NEI,1899,-15.511,-173.068,6
2011013140,NEI,1899,-22.009,-175.622,6
2011012940,NEI,1899,70.931,-6.657,6.2
2011012740,NEI,1899,28.195,59.015,6.2
2011012640,NEI,1899,2.205,96.829,6.1
2011012440,NEI,1899,38.413,72.791,6
2011011840,NEI,1899,28.777,63.951,7.2
2011011740,NEI,1899,-5.03,102.647,6
2011011340,NEI,1899,-20.628,168.471,7
2011011240,NEI,1899,26.973,139.882,6.5
2011010940,NEI,1899,-19.178,168.2335,6.6
2011010540,NEI,1899,-22.26,171.631,6.1
2011010240,NEI,1899,-38.355,-73.326,7.2
2011010140,NEI,1899,-26.803,-63.136,7
2010122940,NEI,1899,-19.661,168.14,6.4
2010122840,NEI,1899,-23.407,-179.802,6.3
2010122640,NEI,1899,-19.616,168.284,6
2010122540,NEI,1899,-19.702,167.947,7.3
2010122340,NEI,1899,53.127,171.161,6.4
2010122242,NEI,1899,26.81,143.595,6.4
2010122140,NEI,1899,26.901,143.698,7.4
