Id,Name,Type,Latitude Deg,Longitude Deg
342495,Strawberry Ridge Airstrip,small_airport,35.85321,-82.11058
342496,STOL-It Farm Airport,small_airport,34.55189,-83.04187
342497,Burnt Ridge Nursery Airstrip,small_airport,46.58046,-122.62112
342498,Dewey Moore Airstrip,small_airport,45.14977,-115.07732
342499,James Ranch Airstrip,small_airport,45.40172,-115.62048
342500,Gros Ventre Ballew Airstrip,small_airport,43.63425,-110.4972
342501,Gros Ventre Horn Airstrip,small_airport,43.48376,-110.20942
342510,South Shore Airport,small_airport,45.09563,-96.91875
342547,Borregos Ranch Airport,small_airport,26.85087,-98.67016
342548,Ranchos Las Islas Airport,small_airport,26.71523,-98.64392
342701,Pue Ranch Airport,small_airport,29.81904,-99.16814
342707,Burnt Flat Landing Strip,small_airport,37.40319,-112.90984
342734,Wyatt Ranch Airport,small_airport,30.52361,-100.23025
342735,Ingham Ranch Landing Strip,small_airport,30.5637,-100.82161
342737,McKenzie Ranch Airport,small_airport,30.7771,-102.5729
342741,Alfred Means Ranch Landing Strip,small_airport,30.723587,-104.376698
342742,Richard Kane Ranch Airport,small_airport,31.0197,-104.5901
342751,Turner Ranch Airport,small_airport,32.76895,-108.32291
342752,Gila Airport,small_airport,32.947656,-108.584608
342753,Sacaton Landing Strip,small_airport,33.18243,-108.68286
342774,Rough Acres Ranch Airport,small_airport,32.697321,-116.267796
342775,Lansing Empire Ranch Airport,small_airport,32.642792,-116.280687
342783,Tenaja Ranch Airport,small_airport,33.4887,-117.368
342784,Sky Ranch Airport,small_airport,33.4597,-117.3749
342785,Garnsay Ranch Airport,small_airport,33.4552,-117.3146
342801,La Vida Mission Landing Strip,small_airport,36.12073,-108.17184
342916,Florence Military Reservation Airstrip,small_airport,33.07479,-111.37029
342920,University of Arizona Maricopa Agricultural Center North Airport,small_airport,33.09204,-111.97801
342925,Rainbow Valley Landing Strip,small_airport,33.3136,-112.5125
342939,Bentalit Lodge Airstrip,small_airport,61.934382,-150.98602
